   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.68700865E-04  1.65941703E-04  1.36324820E-01  1.36327089E-01  2.95687761E-03
     100  4.59724895E-05  1.86101034E-04  1.36677388E-01  1.36677827E-01  2.61703082E-03
     200  7.90425350E-06 -7.60484031E-05  1.36815562E-01  1.36815755E-01  2.43230454E-03
     300 -5.89392057E-05  1.83569841E-04  1.36630598E-01  1.36630947E-01  2.50487219E-03
     400  1.53596247E-04 -4.40751684E-05  1.36699635E-01  1.36699951E-01  2.38961612E-03
     500 -1.52124498E-04 -8.34693415E-05  1.36689843E-01  1.36690163E-01  2.54270256E-03
     600  1.59058700E-04  2.28135284E-05  1.36945328E-01  1.36946505E-01  2.41845760E-03
     700 -3.95291960E-05 -8.63151665E-05  1.36972945E-01  1.36973040E-01  2.42205878E-03
     800 -1.02309684E-05  7.71231863E-05  1.36874062E-01  1.36874326E-01  2.24117581E-03
     900  1.09052141E-04  7.62309330E-05  1.36776860E-01  1.36777484E-01  2.38446108E-03
    1000 -1.53413846E-04  6.35062037E-05  1.36645136E-01  1.36645389E-01  2.69153700E-03
    1100 -8.55827542E-05  2.46111645E-04  1.36791950E-01  1.36792873E-01  2.76286217E-03
    1200  2.96939522E-05  2.62296268E-04  1.36739172E-01  1.36739647E-01  2.55503025E-03
    1300 -1.33362596E-05  3.40454395E-05  1.36574411E-01  1.36574726E-01  2.48424546E-03
    1400  3.86713017E-06  2.85451544E-04  1.36756762E-01  1.36757919E-01  2.33655794E-03
    1500 -1.38059470E-04  4.08714300E-05  1.36737680E-01  1.36738007E-01  2.46276649E-03
    1600 -1.66000728E-05 -1.49560225E-04  1.36710449E-01  1.36710728E-01  2.28251647E-03
    1700  9.19612111E-05  1.14733315E-04  1.36605448E-01  1.36605757E-01  2.41149133E-03
    1800 -6.14667296E-05 -3.14748880E-05  1.36602885E-01  1.36603409E-01  2.55434029E-03
    1900 -7.99052091E-05 -1.51247378E-04  1.36684573E-01  1.36684996E-01  2.56790856E-03
    2000  5.93753054E-05 -3.68397205E-05  1.36709117E-01  1.36709524E-01  2.41044013E-03
    2100 -8.65612135E-05  2.23173057E-04  1.36703692E-01  1.36704408E-01  2.62598181E-03
    2200  1.37851327E-04  1.14236535E-04  1.36779935E-01  1.36780401E-01  2.72612126E-03
    2300  1.81544841E-05 -6.05167619E-05  1.36741128E-01  1.36741458E-01  2.37118748E-03
    2400 -1.02779488E-04  7.77848466E-05  1.36740984E-01  1.36741891E-01  2.31732469E-03
    2500  1.74291727E-05  9.84095588E-05  1.36753221E-01  1.36753768E-01  2.55703080E-03
    2600  7.86002270E-05 -8.51991631E-05  1.36643328E-01  1.36643699E-01  2.42150089E-03
    2700  8.25200841E-05  1.38820554E-04  1.36592910E-01  1.36593353E-01  2.63725419E-03
    2800  1.94936958E-05 -1.29041961E-04  1.36703091E-01  1.36703546E-01  2.60336267E-03
    2900  1.42902227E-04  3.67675706E-05  1.36764942E-01  1.36765161E-01  2.53194232E-03
    3000 -1.54502259E-05  9.86166505E-05  1.36568949E-01  1.36569794E-01  2.50035478E-03
    3100 -1.92706246E-04  8.76563569E-05  1.36603606E-01  1.36604356E-01  2.57711849E-03
    3200 -2.33909233E-04 -6.02218923E-05  1.36840411E-01  1.36840852E-01  2.59685686E-03
    3300 -1.39848440E-05  7.02404266E-05  1.36758481E-01  1.36758710E-01  2.49842680E-03
    3400  9.82375461E-05  3.14029270E-05  1.36779857E-01  1.36780028E-01  2.62348589E-03
    3500  3.34074887E-04  2.56583015E-04  1.36622914E-01  1.36624122E-01  2.29900752E-03
    3600  3.37285042E-07 -2.00906397E-05  1.36751706E-01  1.36751783E-01  2.48593554E-03
    3700 -9.78832843E-05  9.57682721E-05  1.36757065E-01  1.36757559E-01  2.57786910E-03
    3800 -1.44155501E-04  1.60711671E-04  1.36678871E-01  1.36679902E-01  2.53937097E-03
    3900 -9.30249642E-05 -4.18358930E-05  1.36802624E-01  1.36802739E-01  2.48608393E-03
    4000 -6.21484117E-05  1.21356657E-05  1.36676243E-01  1.36676642E-01  2.55383327E-03
    4100 -4.16264041E-06 -1.27094782E-04  1.36715790E-01  1.36716505E-01  2.49743754E-03
    4200  2.43686195E-05  2.05862896E-04  1.36663874E-01  1.36664311E-01  2.58039859E-03
    4300 -5.77891506E-05  5.65982739E-05  1.36922721E-01  1.36922952E-01  2.52185406E-03
    4400 -5.07397002E-05 -7.90459067E-05  1.36611232E-01  1.36611622E-01  2.65419148E-03
    4500 -2.16149920E-04  7.82114177E-05  1.36779039E-01  1.36779433E-01  2.45560414E-03
    4600 -5.87146740E-05  2.67778563E-05  1.36671450E-01  1.36671771E-01  2.62728647E-03
    4700  3.99501822E-05  6.20378721E-05  1.36763405E-01  1.36763633E-01  2.69150872E-03
    4800 -5.35766959E-05 -7.71696699E-05  1.36802168E-01  1.36802287E-01  2.56483208E-03
    4900  1.99498104E-04  7.98892958E-05  1.36623299E-01  1.36623763E-01  2.50238294E-03
    5000 -5.49389666E-05  5.06984906E-05  1.36848326E-01  1.36848917E-01  2.51968889E-03
    5100 -4.57946794E-05 -3.18075338E-06  1.36907880E-01  1.36908386E-01  2.23778583E-03
    5200 -2.12960958E-04  8.85303208E-05  1.36897783E-01  1.36898237E-01  2.61410349E-03
    5300  8.37137279E-05 -3.31548768E-05  1.36736921E-01  1.36737401E-01  2.40062181E-03
    5400 -6.03846872E-05 -1.08779592E-05  1.36662623E-01  1.36663061E-01  2.57310191E-03
    5500  2.05442148E-04 -1.06400634E-04  1.36693771E-01  1.36694594E-01  2.71100862E-03
    5600 -6.25610458E-05  2.95619727E-05  1.36731884E-01  1.36732000E-01  2.48150983E-03
    5700  7.41147890E-05 -1.67172990E-04  1.36641591E-01  1.36642374E-01  2.49322258E-03
    5800  2.47751835E-06 -7.91437996E-05  1.36566087E-01  1.36566390E-01  2.47561731E-03
    5900  1.25624257E-04  2.60535113E-04  1.36705511E-01  1.36706015E-01  2.55482241E-03
    6000  2.24087324E-04  1.35866977E-04  1.36822088E-01  1.36822602E-01  2.49109261E-03
    6100 -5.36481940E-05 -3.29143473E-05  1.36795019E-01  1.36795263E-01  2.52436509E-03
    6200 -2.11370302E-05  1.41954543E-04  1.36819488E-01  1.36820078E-01  2.41938170E-03
    6300  8.21331093E-05  1.59206432E-04  1.36831011E-01  1.36831537E-01  2.59058259E-03
    6400  2.22749208E-05 -6.28463429E-05  1.36705465E-01  1.36705798E-01  2.43799485E-03
    6500  1.21558365E-05 -3.18702805E-05  1.36779366E-01  1.36779874E-01  2.77219934E-03
    6600  1.63521803E-05 -4.41322931E-06  1.36857561E-01  1.36857840E-01  2.58806684E-03
    6700  1.82451425E-04 -1.76853950E-05  1.36729988E-01  1.36730569E-01  2.71514665E-03
    6800 -9.47831066E-05 -8.69706478E-05  1.36828352E-01  1.36828840E-01  2.52339178E-03
    6900 -8.77125827E-05 -2.89776212E-05  1.36657117E-01  1.36657698E-01  2.50259557E-03
    7000  4.72882097E-05  4.30538391E-05  1.36823808E-01  1.36824153E-01  2.45291136E-03
    7100 -1.65448057E-04  5.75320480E-05  1.36813065E-01  1.36813326E-01  2.70378411E-03
    7200  1.57149736E-04 -8.12391414E-05  1.36917296E-01  1.36918014E-01  2.42741243E-03
    7300 -6.33435101E-06  3.68708136E-05  1.36723943E-01  1.36724545E-01  2.58455207E-03
    7400  3.18807610E-05 -8.57866569E-05  1.36640571E-01  1.36640816E-01  2.84774934E-03
    7500 -9.76697677E-06 -6.31264824E-05  1.36704665E-01  1.36705100E-01  2.68814638E-03
    7600 -2.05059151E-05  9.29799160E-05  1.37086069E-01  1.37086600E-01  2.58341877E-03
    7700  6.57507435E-05  8.39014536E-05  1.36614544E-01  1.36615080E-01  2.31537694E-03
    7800  1.49335409E-04  1.03539313E-05  1.36792989E-01  1.36793607E-01  2.40864028E-03
    7900 -1.32163678E-04 -5.01178821E-05  1.36892781E-01  1.36893302E-01  2.63899233E-03
    8000  8.19636655E-05  5.92545666E-05  1.36783939E-01  1.36784399E-01  2.59909773E-03
    8100 -3.41567962E-05 -3.96405243E-05  1.36856029E-01  1.36856407E-01  2.68936694E-03
    8200  4.28293953E-05  1.25430411E-04  1.36951876E-01  1.36952566E-01  2.67449535E-03
    8300  1.11801606E-04 -4.79878994E-05  1.36671896E-01  1.36672870E-01  2.64940550E-03
    8400 -3.83652686E-05  2.17379806E-05  1.36765984E-01  1.36766466E-01  2.42575268E-03
    8500  9.72091061E-05 -1.57612015E-04  1.36678715E-01  1.36679088E-01  2.54526663E-03
    8600  3.05028418E-05 -1.07036524E-04  1.36967914E-01  1.36968260E-01  2.65599236E-03
    8700  2.92165494E-05 -1.59302909E-04  1.36807342E-01  1.36807763E-01  2.58873540E-03
    8800  1.22298044E-05 -8.37191113E-05  1.37015824E-01  1.37016021E-01  2.33277978E-03
    8900 -1.61312095E-04  5.13947453E-05  1.36893797E-01  1.36894107E-01  2.53005480E-03
    9000 -1.37854057E-04  1.69850632E-04  1.36818257E-01  1.36818550E-01  2.62488761E-03
    9100 -2.18131947E-05 -6.41131643E-05  1.36926385E-01  1.36926956E-01  2.71978642E-03
    9200  7.74901652E-05  2.48625668E-04  1.36688641E-01  1.36689361E-01  2.63854263E-03
    9300  8.03386982E-05  1.13308360E-04  1.36930912E-01  1.36931279E-01  2.40468292E-03
    9400 -8.60483863E-05  5.78547570E-05  1.36809260E-01  1.36809775E-01  2.60625266E-03
    9500 -2.87090633E-05 -1.81670019E-04  1.36861018E-01  1.36861595E-01  2.69221506E-03
    9600  2.79840436E-05 -2.31681985E-05  1.36820999E-01  1.36821405E-01  2.68134192E-03
    9700  2.20037805E-05 -1.65157850E-04  1.37154573E-01  1.37155054E-01  2.47228259E-03
    9800 -1.37021065E-04  1.54673395E-05  1.36809846E-01  1.36810462E-01  2.76683419E-03
    9900  7.41214167E-06 -1.15361189E-04  1.36705455E-01  1.36706214E-01  2.53107467E-03
   10000  1.68588195E-05 -3.09782840E-05  1.36889889E-01  1.36890024E-01  2.40789145E-03
   10100  1.34469985E-04  1.11354953E-04  1.36784574E-01  1.36785061E-01  2.58833673E-03
   10200  1.37799334E-04 -1.25851322E-04  1.36660880E-01  1.36661763E-01  2.58201381E-03
   10300  7.75086006E-06 -7.04069779E-05  1.36605618E-01  1.36606691E-01  2.66190652E-03
   10400  1.35368888E-07 -1.21565937E-04  1.36874583E-01  1.36874964E-01  2.48705909E-03
   10500 -1.20373874E-04 -4.20121357E-06  1.36908111E-01  1.36909001E-01  2.39234094E-03
   10600 -2.02900286E-04  1.18341139E-04  1.36917285E-01  1.36917869E-01  2.74304055E-03
   10700  4.56484745E-05 -4.81079601E-05  1.36717975E-01  1.36718308E-01  2.65101117E-03
   10800  1.16714302E-04 -2.65134168E-04  1.36868493E-01  1.36869429E-01  2.77385642E-03
   10900  1.15964921E-04  4.62468618E-06  1.36966621E-01  1.36967114E-01  2.71487887E-03
   11000 -1.39242379E-05 -1.70823455E-04  1.37029016E-01  1.37029397E-01  2.54967236E-03
   11100  2.32559924E-04 -2.42809507E-04  1.36869556E-01  1.36870328E-01  2.68302242E-03
   11200 -1.21696624E-04 -1.03318629E-05  1.36729585E-01  1.36729987E-01  2.61301270E-03
   11300 -1.14326039E-04 -1.02226006E-04  1.36619632E-01  1.36619971E-01  2.59311174E-03
   11400  2.86791785E-04  1.03853148E-04  1.36724141E-01  1.36725077E-01  2.63396334E-03
   11500 -2.48804831E-05 -2.62779854E-04  1.36813654E-01  1.36814185E-01  2.60225511E-03
   11600  5.04128585E-05 -5.79706612E-05  1.36895785E-01  1.36896147E-01  2.64522729E-03
   11700 -3.00968053E-05 -9.16219555E-05  1.36787050E-01  1.36787301E-01  2.58374471E-03
   11800 -1.23429936E-04 -8.40533722E-05  1.36864806E-01  1.36865370E-01  2.51036345E-03
   11900  5.30432292E-05  2.00159763E-04  1.36796748E-01  1.36797166E-01  2.80729320E-03
   12000  3.69987600E-05  8.03683302E-05  1.36868959E-01  1.36869392E-01  2.64008857E-03
   12100  1.02659815E-04  2.05770412E-04  1.36769590E-01  1.36770281E-01  2.57413276E-03
   12200 -2.15004001E-05  2.22394336E-04  1.36891139E-01  1.36891871E-01  2.60233623E-03
   12300 -1.33586319E-04 -6.03765076E-05  1.36757549E-01  1.36757737E-01  2.52503563E-03
   12400  2.46296769E-05 -2.82113337E-05  1.37002526E-01  1.37002934E-01  2.60359173E-03
   12500 -1.95087625E-05  2.22502364E-05  1.36929649E-01  1.36930071E-01  2.48681474E-03
   12600  4.39564954E-06 -6.73478504E-05  1.36927404E-01  1.36927614E-01  2.56433059E-03
   12700 -2.83813043E-04  1.14929788E-04  1.36767976E-01  1.36768621E-01  2.80622835E-03
